Material Exchange Platform (MEP),Host,Logo,Website,Platform type,Exchange type,Audience,Material exchanged,,Need to create an account?,Cost to use the platform,Exchange logistics,Can waiting requests be made for specific materials?,Continued availability of material known?,Cost of materials known?,Provenance known?,Quantity  known?,Quality known?,Colour known?,Location,Address Line 1,Address Line 2,Address Line 3,Town,Postcode,County,Country,Colour,,,,,,,,,,,,,,,,,,,,,,,,
Volunteer it Yourself (VIY),Volunteer it Yourself (VIY),,https://volunteerityourself.org/,Social Enterprise,Donate,Construction,All construction,,NA,Free,,NA,NA,Donation is free,NA,NA,NA,NA,London,34-35 Hatton Garden,,,London,EC1N 8DX,,England,Green,,,,,,,,,,,,,,,,,,,,,,,,
Raised Modular Flooring Installation & Services Ltd,RMF Installation & Services Ltd,,https://www.rmf-services.co.uk/,Shop,Buy and sell,Construction specific,Raised access flooring,,No,Free,Private arrangement to pick up or deliver once the material exchange is confirmed,Yes,Don't know,Cost depends on donation and purchase amounts and type,Don't know,Don't know,Don't know,Don't know,UK,,,,,,,,Red,,,,,,,,,,,,,,,,,,,,,,,,
Collecteco Reuse,Collecteco Reuse,,https://www.collecteco.co.uk/,Online listings,Donate to MEP and MEP then donates UK-wide,Any,All construction materials including furniture - wood and metal,,Yes,Free,Private arrangement to pick up or deliver once the material exchange is confirmed,Yes,Often yes,NA,Often yes,Yes,Yes,Yes,UK,,,,,,,,Blue,,,,,,,,,,,,,,,,,,,,,,,,
Paint360,Paint360,,www.paint360.co.uk,Shop,Buy and sell,Any,Paint,,Yes,Pay to donate and buy,Private arrangement to pick up or deliver. Only large volumes (1000+ cans) can be donated at a time.,NA,Yes,Cost to donate and buy,NA,NA,NA,NA,UK,,,,,,,,Red,,,,,,,,,,,,,,,,,,,,,,,,
Rype,Rype Office,,https://www.rypeoffice.com/,Shop,Buy and sell,Any,Office furniture,,No,Free to donate,Private arrangement to pick up or deliver once the material exchange is confirmed,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,UK,,,,,,,,Red,,,,,,,,,,,,,,,,,,,,,,,,
Greenstream Flooring,,,https://www.findcarpettiles.co.uk/,Social Enterprise,Buy and sell,Any,Flooring,,Unsure,Unsure,Unsure,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,UK,Unit 3,Rheola Industrial Estate,Rhondda Cynon Taff,Porth,CF39 0AD,,Wales,Green,,,,,,,,,,,,,,,,,,,,,,,,
Globechain the ESG reuse marketplace,,,https://globechain.com/,Online listings,Marketplace,Any,All products skills and services including construction materials,,Yes,Free to request and take items but charge to list items,Private arrangement to pick up or deliver once the material exchange is confirmed,Yes,Yes,No,No,Yes,Yes,Yes,UK,,,,,,,,Red,,,,,,,,,,,,,,,,,,,,,,,,
Eurocell Recycle,Eurocell,,https://www.eurocell.co.uk/eurocell-recycle,Shop,Buy and sell,Construction,PVCu,,Unsure,Unsure,Unsure,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,UK,Eurocell Head Office and Distribution Centre,,,,,,,Red,,,,,,,,,,,,,,,,,,,,,,,,
Zero Waste Box,Terracycle,,https://zerowasteboxes.terracycle.co.uk/,Shop,Buy,Any,Various products and materials,,No,Varies depending on box,Buy box and return using prepaid label,NA,NA,NA,NA,NA,NA,NA,UK,,,,,,,,Yellow,,,,,,,,,,,,,,,,,,,,,,,,
ReWorked,,,https://www.reworked.com/,Shop,Buy and sell,Any,Various products and materials,,Unsure,Free,Buy recycling box and return or buy recycled materials from store for delivery,NA,,Yes,No,NA,Yes,Yes,UK,,,,,,,,Red,,,,,,,,,,,,,,,,,,,,,,,,
TRACOuk,,,https://recycledassets.co.uk/,Online listings,Buy and sell,Any,Office furniture equipment and white goods,,No,Free,Private arrangement to pick up or deliver once the material exchange is confirmed,Yes,Yes,No,No,Yes,Yes,Yes,UK,,,,,,,,Red,Online listings,Marketplace,Any,All products skills and services including construction materials,,Yes,Free to request and take items but charge to list items,Private arrangement to pick up or deliver once the material exchange is confirmed,Yes,Mostly yes,Yes,Yes,Yes,Yes,Yes,UK,,,,,,,,Red
